50.0 	 0.0 	25.0	0.1095 	0.7099 	0.0798 	0.1008 	0.8107 	0.3621	0.04313	0.04352	0.04927	0.04970	0.08054	0.08128	0.08691	0.08771	0.16198	0.16363	0.19535	0.24118	0.24372	0.27747	
51.0 	 0.0 	25.0	0.1094 	0.7073 	0.0820 	0.1013 	0.8086 	0.3639	0.04300	0.04339	0.04913	0.04956	0.08027	0.08101	0.08664	0.08744	0.16157	0.16321	0.19496	0.24052	0.24305	0.27683	
52.0 	 0.0 	25.0	0.1093 	0.7047 	0.0842 	0.1017 	0.8065 	0.3658	0.04287	0.04325	0.04900	0.04943	0.08000	0.08074	0.08638	0.08717	0.16117	0.16281	0.19459	0.23987	0.24240	0.27623	
53.0 	 0.0 	25.0	0.1093 	0.7021 	0.0865 	0.1021 	0.8042 	0.3678	0.04273	0.04311	0.04887	0.04929	0.07973	0.08047	0.08612	0.08690	0.16080	0.16243	0.19426	0.23924	0.24176	0.27565	
54.0 	 0.0 	25.0	0.1093 	0.6994 	0.0888 	0.1025 	0.8019 	0.3698	0.04260	0.04298	0.04874	0.04917	0.07946	0.08020	0.08585	0.08663	0.16044	0.16206	0.19396	0.23862	0.24113	0.27511	
55.0 	 0.0 	25.0	0.1094 	0.6966 	0.0911 	0.1028 	0.7994 	0.3718	0.04247	0.04284	0.04862	0.04904	0.07919	0.07992	0.08559	0.08637	0.16009	0.16171	0.19369	0.23801	0.24051	0.27459	
56.0 	 0.0 	25.0	0.1096 	0.6938 	0.0935 	0.1030 	0.7968 	0.3739	0.04233	0.04271	0.04850	0.04892	0.07891	0.07964	0.08533	0.08610	0.15976	0.16138	0.19346	0.23741	0.23990	0.27411	
57.0 	 0.0 	25.0	0.1098 	0.6909 	0.0960 	0.1032 	0.7941 	0.3761	0.04220	0.04257	0.04838	0.04880	0.07863	0.07935	0.08506	0.08583	0.15945	0.16106	0.19326	0.23682	0.23930	0.27365	
58.0 	 0.0 	25.0	0.1101 	0.6879 	0.0986 	0.1034 	0.7913 	0.3783	0.04206	0.04243	0.04827	0.04868	0.07834	0.07906	0.08479	0.08556	0.15915	0.16076	0.19310	0.23623	0.23871	0.27321	
59.0 	 0.0 	25.0	0.1105 	0.6848 	0.1012 	0.1035 	0.7883 	0.3806	0.04192	0.04229	0.04815	0.04857	0.07804	0.07876	0.08452	0.08529	0.15887	0.16047	0.19298	0.23565	0.23812	0.27281	
